gridref,region_code,allocated,nyrs,firstyear,lastyear
NJ9751,ABER,Y,11,1997,2021
NK0138,ABER,Y,19,1994,2024
NK0230,ABER,Y,1,2021,2021
NK0551,ABER,Y,22,1994,2023
NK0850,ABER,N,15,2007,2022
NL9942,ARGN,Y,20,2005,2024
NM2059,ARGN,Y,5,2000,2024
NM3021,ARGN,Y,24,1994,2024
NM3923,ARGN,Y,12,2010,2022
NM3939,ARGN,Y,8,1994,2024
NM4151,ARGN,Y,10,2007,2024
NM4319,ARGN,Y,11,2013,2024
NM4421,ARGN,Y,11,1994,2023
NM4521,ARGN,Y,4,2018,2023
NM4849,ARGN,Y,16,2006,2024
NM4941,ARGN,Y,7,2007,2013
NM5327,ARGN,Y,3,2007,2009
NM5344,ARGN,Y,9,2007,2024
NM5441,ARGN,Y,9,2004,2016
NM5445,ARGN,Y,23,2001,2024
NM5446,ARGN,Y,14,2004,2020
NM5466,INVW,Y,13,1994,2024
NM5669,INVW,Y,13,1994,2024
NM5857,ARGN,Y,5,2006,2024
NM6047,ARGN,Y,10,2007,2022
NM6149,ARGN,Y,7,1994,2023
NM6249,ARGN,N,5,1994,2017
NM8063,INVW,Y,1,2024,2024
NM8224,ARGS,Y,11,1994,2024
NM8319,ARGS,Y,8,1994,2007
NM8326,ARGS,Y,5,1994,2019
NM8368,INVW,Y,5,2007,2021
NM8912,ARGS,Y,1,2005,2005
NM9000,ARGS,N,10,1994,2023
NM9128,ARGS,Y,9,2007,2019
NM9216,ARGS,N,2,2007,2008
NM9244,ARGS,N,11,2002,2015
NM9409,ARGS,N,8,1999,2008
NM9449,ARGS,Y,5,2007,2015
NM9621,ARGS,Y,7,2005,2024
NM9650,ARGS,N,3,2014,2023
NM9901,ARGS,N,3,2007,2009
NN0104,ARGS,N,14,1994,2023
NN0615,ARGS,N,14,1994,2023
NN0699,INVW,N,22,1994,2019
NN0707,ARGS,N,7,2017,2024
NN0810,ARGS,Y,3,2007,2009
NN0866,INVW,Y,7,2018,2024
NN1035,ARGS,Y,9,1994,2021
NN1234,ARGS,N,5,1996,2022
NN1508,ARGS,Y,8,2007,2023
NN1562,INVW,N,12,2007,2022
NN1925,ARGS,Y,1,1996,1996
NN1962,INVW,Y,20,1994,2024
NN2391,INVW,Y,11,2007,2024
NN2404,LANA,N,3,2007,2018
NN2488,INVW,Y,15,1994,2024
NN2505,LANA,N,6,2007,2021
NN2578,INVW,N,12,2007,2022
NN2670,INVW,N,11,2012,2023
NN2671,INVW,N,11,2012,2023
NN2705,LANA,Y,5,2012,2021
NN2706,LANA,Y,11,1994,2021
NN2835,ARGS,Y,4,1994,2016
NN2908,LANA,Y,9,1994,2021
NN3105,LANA,Y,4,2018,2022
NN3208,LANA,N,8,1994,2005
NN3226,CENT,N,1,2014,2014
NN3329,CENT,Y,7,2014,2024
NN3611,LANA,Y,6,2018,2024
NN3782,INVW,Y,22,1994,2024
NN3826,CENT,N,1,2017,2017
NN4103,CENT,Y,13,1997,2024
NN4202,CENT,N,1,2009,2009
NN4205,CENT,Y,7,2013,2024
NN4211,CENT,Y,1,2016,2016
NN4212,CENT,Y,6,2003,2018
NN4304,CENT,N,5,2016,2021
NN4527,CENT,Y,6,2016,2024
NN4614,CENT,N,8,2011,2022
NN4615,CENT,N,11,2006,2022
NN4740,PERT,Y,5,2018,2023
NN4796,INVE,N,3,2007,2009
NN4838,CENT,Y,5,2017,2022
NN4839,CENT,Y,5,2017,2022
NN4897,INVE,N,9,2011,2019
NN4898,INVE,N,17,1994,2019
NN4920,CENT,N,4,2016,2019
NN4936,CENT,Y,12,2011,2024
NN4937,CENT,Y,20,1997,2024
NN4996,INVE,Y,5,2007,2024
NN5002,CENT,Y,6,2007,2024
NN5060,PERT,N,6,2007,2021
NN5119,CENT,N,21,1998,2021
NN5138,CENT,Y,7,2016,2024
NN5139,CENT,Y,7,2016,2024
NN5305,CENT,Y,12,2011,2024
NN5410,CENT,Y,14,2010,2024
NN5411,CENT,Y,17,2007,2024
NN5419,CENT,N,5,2012,2017
NN5448,PERT,Y,16,1997,2024
